Fecha,Facebook,Instagram,Twitter
28/03/2013,1100,11000,110
29/03/2013,1110,11100,111
30/03/2013,1120,11200,112
31/03/2013,1130,11300,113
01/04/2013,1140,11400,114
02/04/2013,1150,11500,115
03/04/2013,1160,11600,116
04/04/2013,1170,11700,117
05/04/2013,1180,11800,118
06/04/2013,1190,11900,119
07/04/2013,1200,12000,120
08/04/2013,1210,12100,121
09/04/2013,1220,12200,122
10/04/2013,1230,12300,123
11/04/2013,1240,12400,124
12/04/2013,1250,12500,125
13/04/2013,1260,12600,126
14/04/2013,1270,12700,127
15/04/2013,1280,12800,128
16/04/2013,1290,12900,129
17/04/2013,1300,13000,130
18/04/2013,1310,13100,131
19/04/2013,1320,13200,132
20/04/2013,1330,13300,133
21/04/2013,1340,13400,134
22/04/2013,1350,13500,135
23/04/2013,1360,13600,136
24/04/2013,1370,13700,137
25/04/2013,1380,13800,138
26/04/2013,1390,13900,139
27/04/2013,1400,14000,140
28/04/2013,1410,14100,141
29/04/2013,1420,14200,142
30/04/2013,1430,14300,143
01/05/2013,1440,14400,144
02/05/2013,1450,14500,145
03/05/2013,1460,14600,146
04/05/2013,1470,14700,147
05/05/2013,1480,14800,148
06/05/2013,1490,14900,149
07/05/2013,1500,15000,150
08/05/2013,1510,15100,151
09/05/2013,1520,15200,152
10/05/2013,1530,15300,153
11/05/2013,1540,15400,154
12/05/2013,1550,15500,155
13/05/2013,1560,15600,156
14/05/2013,1570,15700,157
15/05/2013,1580,15800,158
16/05/2013,1590,15900,159
17/05/2013,1600,16000,160
18/05/2013,1610,16100,161
19/05/2013,1620,16200,162
20/05/2013,1630,16300,163
21/05/2013,1640,16400,164
22/05/2013,1650,16500,165
23/05/2013,1660,16600,166
24/05/2013,1670,16700,167
25/05/2013,1680,16800,168
26/05/2013,1690,16900,169
27/05/2013,1700,17000,170
28/05/2013,1710,17100,171
29/05/2013,1720,17200,172
30/05/2013,1730,17300,173
31/05/2013,1740,17400,174
01/06/2013,1750,17500,175
02/06/2013,1760,17600,176
03/06/2013,1770,17700,177
04/06/2013,1780,17800,178
05/06/2013,1790,17900,179
06/06/2013,1800,18000,180
07/06/2013,1810,18100,181
08/06/2013,1820,18200,182
09/06/2013,1830,18300,183
10/06/2013,1840,18400,184
11/06/2013,1850,18500,185
12/06/2013,1860,18600,186
13/06/2013,1870,18700,187
14/06/2013,1880,18800,188
15/06/2013,1890,18900,189
16/06/2013,1900,19000,190
17/06/2013,1910,19100,191
18/06/2013,1920,19200,192
19/06/2013,1930,19300,193
20/06/2013,1940,19400,194
21/06/2013,1950,19500,195
22/06/2013,1960,19600,196
23/06/2013,1970,19700,197
24/06/2013,1980,19800,198
25/06/2013,1990,19900,199
26/06/2013,2000,20000,200
27/06/2013,2010,20100,201
28/06/2013,2020,20200,202
29/06/2013,2030,20300,203
30/06/2013,2040,20400,204
01/07/2013,2050,20500,205
02/07/2013,2060,20600,206
03/07/2013,2070,20700,207
04/07/2013,2080,20800,208
05/07/2013,2090,20900,209
06/07/2013,2100,21000,210
07/07/2013,2110,21100,211
08/07/2013,2120,21200,212
09/07/2013,2130,21300,213
10/07/2013,2140,21400,214
11/07/2013,2150,21500,215
12/07/2013,2160,21600,216
13/07/2013,2170,21700,217
14/07/2013,2180,21800,218
15/07/2013,2190,21900,219
16/07/2013,2200,22000,220
17/07/2013,2210,22100,221
18/07/2013,2220,22200,222
19/07/2013,2230,22300,223
20/07/2013,2240,22400,224
21/07/2013,2250,22500,225
22/07/2013,2260,22600,226
23/07/2013,2270,22700,227
24/07/2013,2280,22800,228
25/07/2013,2290,22900,229
26/07/2013,2300,23000,230
27/07/2013,2310,23100,231
28/07/2013,2320,23200,232
29/07/2013,2330,23300,233
30/07/2013,2340,23400,234
31/07/2013,2350,23500,235
01/08/2013,2360,23600,236
02/08/2013,2370,23700,237
03/08/2013,2380,23800,238
04/08/2013,2390,23900,239
05/08/2013,2400,24000,240
06/08/2013,2410,24100,241
07/08/2013,2420,24200,242
08/08/2013,2430,24300,243
09/08/2013,2440,24400,244
10/08/2013,2450,24500,245
11/08/2013,2460,24600,246
12/08/2013,2470,24700,247
13/08/2013,2480,24800,248
14/08/2013,2490,24900,249
15/08/2013,2500,25000,250
16/08/2013,2510,25100,251
17/08/2013,2520,25200,252
18/08/2013,2530,25300,253
19/08/2013,2540,25400,254
20/08/2013,2550,25500,255
21/08/2013,2560,25600,256
22/08/2013,2570,25700,257
23/08/2013,2580,25800,258
24/08/2013,2590,25900,259
25/08/2013,2600,26000,260
26/08/2013,2610,26100,261
27/08/2013,2620,26200,262
28/08/2013,2630,26300,263
29/08/2013,2640,26400,264
30/08/2013,2650,26500,265
31/08/2013,2660,26600,266
01/09/2013,2670,26700,267
02/09/2013,2680,26800,268
03/09/2013,2690,26900,269
04/09/2013,2700,27000,270
05/09/2013,2710,27100,271
06/09/2013,2720,27200,272
07/09/2013,2730,27300,273
08/09/2013,2740,27400,274
09/09/2013,2750,27500,275
10/09/2013,2760,27600,276
11/09/2013,2770,27700,277
12/09/2013,2780,27800,278
13/09/2013,2790,27900,279
14/09/2013,2800,28000,280
15/09/2013,2810,28100,281
16/09/2013,2820,28200,282
17/09/2013,2830,28300,283
18/09/2013,2840,28400,284
19/09/2013,2850,28500,285
20/09/2013,2860,28600,286
21/09/2013,2870,28700,287
22/09/2013,2880,28800,288
23/09/2013,2890,28900,289
24/09/2013,2900,29000,290
25/09/2013,2910,29100,291
26/09/2013,2920,29200,292
27/09/2013,2930,29300,293
28/09/2013,2940,29400,294
29/09/2013,2950,29500,295
30/09/2013,2960,29600,296
01/10/2013,2970,29700,297
02/10/2013,2980,29800,298
03/10/2013,2990,29900,299
04/10/2013,3000,30000,300
05/10/2013,3010,30100,301
06/10/2013,3020,30200,302
07/10/2013,3030,30300,303
08/10/2013,3040,30400,304
09/10/2013,3050,30500,305
10/10/2013,3060,30600,306
11/10/2013,3070,30700,307
12/10/2013,3080,30800,308
13/10/2013,3090,30900,309
14/10/2013,3100,31000,310
15/10/2013,3110,31100,311
16/10/2013,3120,31200,312
17/10/2013,3130,31300,313
18/10/2013,3140,31400,314
19/10/2013,3150,31500,315
20/10/2013,3160,31600,316
21/10/2013,3170,31700,317
22/10/2013,3180,31800,318
23/10/2013,3190,31900,319
24/10/2013,3200,32000,320
25/10/2013,3210,32100,321
26/10/2013,3220,32200,322
